,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
2,002749.SZ,20190426,20190426,20181231,1,1,1.0823,1.0815,865419719.98,865419719.98,,,,,,,,,,,,,,,72861572.05,-439935.77,-2586530.76,,671192756.0,442985964.55,,,1991581.44,129450976.32,46045186.79,-8566747.82,18584481.84,,,,,,,,,,,268604424.73,272267.92,2599061.75,,266277630.9,31688475.6,234589155.3,234589155.3,,,234589155.3,234589155.3,,205337866.4,210918557.5,,,
0,002750.SZ,20190427,20190427,20190331,1,1,0.0131,0.0131,65213290.42,65213290.42,,,,,,,,,,,,,,,,-726351.51,-992356.99,,57790290.75,4859363.77,,,1527156.31,45217273.97,5264474.24,-2995645.15,,,,,,,,,,,,7101930.46,6100.2,1185.54,,7106845.12,1895828.23,5211016.89,5237314.3,-26297.41,,5211016.89,5237314.3,-26297.41,,,,,
1,002750.SZ,20190427,20190427,20190331,1,1,0.0131,0.0131,65213290.42,65213290.42,,,,,,,,,,,,,,,,-726351.51,-992356.99,,57790290.75,4859363.77,,,1527156.31,45217273.97,5264474.24,-2995645.15,,,,,,,,,,,,7101930.46,6100.2,1185.54,,7106845.12,1895828.23,5211016.89,5237314.3,-26297.41,,5211016.89,5237314.3,-26297.41,5626894.63,,,,
0,002751.SZ,20190430,20190430,20190331,1,1,0.0442,0.0439,167209215.49,167209215.49,,,,,,,,,,,,,,,,,,,159496282.06,107271628.15,,,4315756.55,11805288.14,18898293.38,7307908.4,-1703603.07,,,,,,,,,,,10324784.9,30150.2,2187.66,,10352747.44,809406.98,9543340.46,6782007.5,2761332.96,,9543340.46,6782007.5,2761332.96,,,,,
1,002751.SZ,20190430,20190430,20190331,1,1,0.0442,0.0439,167209215.49,167209215.49,,,,,,,,,,,,,,,,,,,159496282.06,107271628.15,,,4315756.55,11805288.14,18898293.38,7307908.4,-1703603.07,,,,,,,,,,,10324784.9,30150.2,2187.66,,10352747.44,809406.98,9543340.46,6782007.5,2761332.96,,9543340.46,6782007.5,2761332.96,15929090.23,,,,
2,002751.SZ,20190429,20190429,20181231,1,1,0.54,0.53,1124034640.89,1124034640.89,,,,,,,,,,,,,,,,1853808.21,,,1021284518.67,747687558.85,,,34552922.08,67061048.77,92597698.03,20464823.38,24303610.02,,,,,,,,,,,115811148.77,1705929.64,3802644.13,,113714434.28,5224417.75,108490016.53,80600679.37,27889337.16,,108490016.53,80600679.37,27889337.16,,,,,
3,002751.SZ,20190429,20190429,20181231,1,1,0.54,0.53,1124034640.89,1124034640.89,,,,,,,,,,,,,,,,1853808.21,,,1021284518.67,747687558.85,,,34552922.08,67061048.77,92597698.03,20464823.38,24303610.02,,,,,,,,,,,115811148.77,1705929.64,3802644.13,,113714434.28,5224417.75,108490016.53,80600679.37,27889337.16,,108490016.53,80600679.37,27889337.16,133463910.59,174744891.79,,,
0,002752.SZ,20190430,20190430,20190331,1,1,0.0166,0.0166,491384391.44,491384391.44,,,,,,,,,,,,,,,,,,,480530248.82,417868116.98,,,4947303.62,16463058.97,28461583.24,10813965.85,753897.87,,,,,,,,,,,18209177.0,1361257.95,774985.92,,18795449.03,7226994.77,11568454.26,13845494.12,-2277039.86,-579.37,11567874.89,13844914.75,-2277039.86,,,,,
1,002752.SZ,20190430,20190430,20190331,1,1,0.0166,0.0166,491384391.44,491384391.44,,,,,,,,,,,,,,,,,,,480530248.82,417868116.98,,,4947303.62,16463058.97,28461583.24,10813965.85,753897.87,,,,,,,,,,,18209177.0,1361257.95,774985.92,,18795449.03,7226994.77,11568454.26,13845494.12,-2277039.86,-579.37,11567874.89,13844914.75,-2277039.86,29724776.7,,,,
2,002752.SZ,20190427,20190427,20181231,1,1,0.05,0.05,2098304493.63,2098304493.63,,,,,,,,,,,,,,,,-4606419.76,-2581929.66,,2063626305.33,1809654087.16,,,17006348.84,69386712.87,130777421.6,34654082.71,2147652.15,,,,,,,,,,,50377775.42,848369.88,542815.01,,50683330.29,9276768.07,41406562.22,42665085.0,-1258522.78,-145607.95,41260954.27,42519477.05,-1258522.78,,,,,
